file,dataset,dataset_label,n,m,regime,group,voting_rule,winner,epsilon,rule_label,epsilon_jitter
00068-00000001.soi,polish,Polish,23,10,n ≫ m,Polish (n ≫ m),veto,9,0.0,VETO (k=1408),0.0009934283060224654
00068-00000002.soi,polish,Polish,15,14,n ≈ m,Polish (n ≈ m),veto,13,0.0,VETO (k=1408),-0.0002765286023423693
00068-00000003.soi,polish,Polish,15,9,other,Polish (other),veto,1,0.0,VETO (k=1408),0.001295377076201385
00068-00000004.soi,polish,Polish,15,17,n ≈ m,Polish (n ≈ m),veto,1,0.0,VETO (k=1408),0.003046059712816051
00068-00000005.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),veto,3,0.0,VETO (k=1408),-0.00046830674944667197
00068-00000006.soi,polish,Polish,15,9,other,Polish (other),veto,4,0.0,VETO (k=1408),-0.00046827391389836113
00068-00000007.soi,polish,Polish,15,13,n ≈ m,Polish (n ≈ m),veto,3,0.0,VETO (k=1408),0.003158425631014783
00068-00000008.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),veto,3,0.0,VETO (k=1408),0.0015348694583058177
00068-00000009.soi,polish,Polish,21,10,n ≫ m,Polish (n ≫ m),veto,4,0.0,VETO (k=1408),-0.0009389487718699043
00068-00000010.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),veto,7,0.0,VETO (k=1408),0.0010851200871719294
00068-00000011.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),veto,3,0.0,VETO (k=1408),-0.0009268353856249246
00068-00000012.soi,polish,Polish,15,11,other,Polish (other),veto,10,0.0,VETO (k=1408),-0.0009314595071405138
00068-00000013.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),veto,3,0.0,VETO (k=1408),0.00048392454313206823
00068-00000014.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),veto,1,0.0,VETO (k=1408),-0.003826560489315596
00068-00000015.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),veto,4,0.0,VETO (k=1408),-0.0034498356650260655
00068-00000016.soi,polish,Polish,21,10,n ≫ m,Polish (n ≫ m),veto,2,0.0,VETO (k=1408),-0.0011245750584819455
00068-00000017.soi,polish,Polish,15,8,other,Polish (other),veto,2,0.0,VETO (k=1408),-0.002025662240668848
00068-00000018.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),veto,5,0.0,VETO (k=1408),0.0006284946651905478
00068-00000019.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),veto,4,0.0,VETO (k=1408),-0.0018160481510424219
00068-00000020.soi,polish,Polish,15,11,other,Polish (other),veto,9,0.0,VETO (k=1408),-0.002824607402670583
00068-00000021.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),veto,5,0.0,VETO (k=1408),0.002931297537843108
00068-00000022.soi,polish,Polish,21,13,other,Polish (other),veto,11,0.0,VETO (k=1408),-0.0004515526009730713
00068-00000023.soi,polish,Polish,15,8,other,Polish (other),veto,3,0.0,VETO (k=1408),0.0001350564093758477
00068-00000024.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),veto,2,0.0,VETO (k=1408),-0.0028494963724269135
00068-00000025.soi,polish,Polish,15,13,n ≈ m,Polish (n ≈ m),veto,3,0.0,VETO (k=1408),-0.0010887654490503653
00068-00000026.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),veto,4,0.0,VETO (k=1408),0.00022184517941973217
00068-00000027.soi,polish,Polish,21,7,n ≫ m,Polish (n ≫ m),veto,4,0.0,VETO (k=1408),-0.0023019871548446056
00068-00000028.soi,polish,Polish,15,14,n ≈ m,Polish (n ≈ m),veto,4,0.0,VETO (k=1408),0.000751396036691344
00068-00000029.soi,polish,Polish,15,11,other,Polish (other),veto,11,0.0,VETO (k=1408),-0.0012012773798376099
00068-00000030.soi,polish,Polish,15,8,other,Polish (other),veto,4,0.0,VETO (k=1408),-0.0005833874995865535
00068-00000031.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),veto,5,0.0,VETO (k=1408),-0.001203413224458794
00068-00000032.soi,polish,Polish,21,12,other,Polish (other),veto,9,0.0,VETO (k=1408),0.0037045563690178756
00068-00000033.soi,polish,Polish,15,9,other,Polish (other),veto,2,0.0,VETO (k=1408),-2.6994449475867844e-05
00068-00000034.soi,polish,Polish,23,10,n ≫ m,Polish (n ≫ m),veto,8,0.0,VETO (k=1408),-0.0021154218579118008
00068-00000035.soi,polish,Polish,15,4,n ≫ m,Polish (n ≫ m),veto,1,0.0,VETO (k=1408),0.001645089824206378
00068-00000036.soi,polish,Polish,15,11,other,Polish (other),veto,10,0.0,VETO (k=1408),-0.0024416872999420444
00068-00000037.soi,polish,Polish,15,12,other,Polish (other),veto,7,0.0,VETO (k=1408),0.0004177271900095108
00068-00000038.soi,polish,Polish,15,8,other,Polish (other),veto,5,0.0,VETO (k=1408),-0.003919340247759551
00068-00000039.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),veto,1,0.0,VETO (k=1408),-0.002656372097796861
00068-00000040.soi,polish,Polish,15,8,other,Polish (other),veto,8,0.0,VETO (k=1408),0.00039372247173824704
00068-00000041.soi,polish,Polish,15,8,other,Polish (other),veto,6,0.0,VETO (k=1408),0.0014769331599908209
00068-00000042.soi,polish,Polish,15,20,other,Polish (other),veto,3,0.0,VETO (k=1408),0.000342736562379941
00068-00000043.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),veto,5,0.0,VETO (k=1408),-0.00023129656477648106
00068-00000044.soi,polish,Polish,15,8,other,Polish (other),veto,1,0.0,VETO (k=1408),-0.0006022073911785776
00068-00000045.soi,polish,Polish,15,10,other,Polish (other),veto,5,0.0,VETO (k=1408),-0.002957043980734855
00068-00000046.soi,polish,Polish,15,12,other,Polish (other),veto,4,0.0,VETO (k=1408),-0.0014396884167894174
00068-00000047.soi,polish,Polish,15,8,other,Polish (other),veto,4,0.0,VETO (k=1408),-0.000921277541919575
00068-00000048.soi,polish,Polish,15,9,other,Polish (other),veto,1,0.0,VETO (k=1408),0.0021142444524378315
00068-00000049.soi,polish,Polish,15,12,other,Polish (other),veto,4,0.0,VETO (k=1408),0.0006872365791369228
00068-00000050.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),veto,7,0.0,VETO (k=1408),-0.003526080310725468
00068-00000051.soi,polish,Polish,21,9,n ≫ m,Polish (n ≫ m),veto,2,0.0,VETO (k=1408),0.0006481679387895901
00068-00000052.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),veto,2,0.0,VETO (k=1408),-0.0007701645608326331
00068-00000053.soi,polish,Polish,15,9,other,Polish (other),veto,1,0.0,VETO (k=1408),-0.0013538440006119175
00068-00000054.soi,polish,Polish,15,12,other,Polish (other),veto,2,0.0,VETO (k=1408),0.0012233525776817358
00068-00000055.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),veto,2,0.0,VETO (k=1408),0.002061999044991902
00068-00000056.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),veto,3,0.0,VETO (k=1408),0.0018625602382323972
00068-00000057.soi,polish,Polish,15,8,other,Polish (other),veto,3,0.0,VETO (k=1408),-0.0016784350464452771
00068-00000058.soi,polish,Polish,15,10,other,Polish (other),veto,9,0.0,VETO (k=1408),-0.0006184247517024292
00068-00000059.soi,polish,Polish,15,4,n ≫ m,Polish (n ≫ m),veto,2,0.0,VETO (k=1408),0.0006625268628071279
00068-00000060.soi,polish,Polish,15,8,other,Polish (other),veto,6,0.0,VETO (k=1408),0.0019510902542447183
00068-00000061.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),veto,2,0.0,VETO (k=1408),-0.00095834847569058
00068-00000062.soi,polish,Polish,15,11,other,Polish (other),veto,11,0.0,VETO (k=1408),-0.00037131795332763425
00068-00000063.soi,polish,Polish,21,10,n ≫ m,Polish (n ≫ m),veto,5,0.0,VETO (k=1408),-0.0022126699480120565
00068-00000064.soi,polish,Polish,15,11,other,Polish (other),veto,4,0.0,VETO (k=1408),-0.0023924132481613417
00068-00000065.soi,polish,Polish,15,21,other,Polish (other),veto,18,0.0,VETO (k=1408),0.001625051644788396
00068-00000066.soi,polish,Polish,15,10,other,Polish (other),veto,3,0.0,VETO (k=1408),0.0027124800571416458
00068-00000067.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),veto,2,0.0,VETO (k=1408),-0.0001440202431606677
00068-00000068.soi,polish,Polish,15,8,other,Polish (other),veto,8,0.0,VETO (k=1408),0.002007065795784048
00068-00000069.soi,polish,Polish,23,8,n ≫ m,Polish (n ≫ m),veto,5,0.0,VETO (k=1408),0.0007232720500952683
00068-00000070.soi,polish,Polish,15,11,other,Polish (other),veto,6,0.0,VETO (k=1408),-0.0012902395092102485
00068-00000071.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),veto,7,0.0,VETO (k=1408),0.0007227912110168279
00068-00000072.soi,polish,Polish,15,9,other,Polish (other),veto,4,0.0,VETO (k=1408),0.0030760731329319384
00068-00000073.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),veto,6,0.0,VETO (k=1408),-7.165207821990307e-05
00068-00000074.soi,polish,Polish,21,10,n ≫ m,Polish (n ≫ m),veto,1,0.0,VETO (k=1408),0.0031292873116280126
00068-00000075.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),veto,6,0.0,VETO (k=1408),-0.005239490208179489
00068-00000076.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),veto,5,0.0,VETO (k=1408),0.0016438050087504478
00068-00000077.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),veto,3,0.0,VETO (k=1408),0.00017409413647634245
00068-00000078.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),veto,6,0.0,VETO (k=1408),-0.000598014700931735
00068-00000079.soi,polish,Polish,15,15,n ≈ m,Polish (n ≈ m),veto,15,0.0,VETO (k=1408),0.0001835215530710046
00068-00000080.soi,polish,Polish,21,13,other,Polish (other),veto,11,0.0,VETO (k=1408),-0.0039751378292017855
00068-00000081.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),veto,5,0.0,VETO (k=1408),-0.00043934377567502386
00068-00000082.soi,polish,Polish,15,8,other,Polish (other),veto,5,0.0,VETO (k=1408),0.0007142251430234929
00068-00000083.soi,polish,Polish,15,10,other,Polish (other),veto,5,0.0,VETO (k=1408),0.002955788089483032
00068-00000084.soi,polish,Polish,15,15,n ≈ m,Polish (n ≈ m),veto,11,0.0,VETO (k=1408),-0.0010365404365472947
00068-00000085.soi,polish,Polish,15,10,other,Polish (other),veto,3,0.0,VETO (k=1408),-0.0016169872057863752
00068-00000086.soi,polish,Polish,23,14,other,Polish (other),veto,11,0.0,VETO (k=1408),-0.001003514087169073
00068-00000087.soi,polish,Polish,15,12,other,Polish (other),veto,5,0.0,VETO (k=1408),0.0018308042354041483
00068-00000088.soi,polish,Polish,15,14,n ≈ m,Polish (n ≈ m),veto,4,0.0,VETO (k=1408),0.0006575022193193689
00068-00000089.soi,polish,Polish,15,14,n ≈ m,Polish (n ≈ m),veto,12,0.0,VETO (k=1408),-0.0010595204075340777
00068-00000090.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),veto,2,0.0,VETO (k=1408),0.0010265348662267123
00068-00000091.soi,polish,Polish,21,10,n ≫ m,Polish (n ≫ m),veto,9,0.0,VETO (k=1408),0.00019415509869608077
00068-00000092.soi,polish,Polish,15,8,other,Polish (other),veto,7,0.0,VETO (k=1408),0.0019372899810657786
00068-00000093.soi,polish,Polish,15,10,other,Polish (other),veto,2,0.0,VETO (k=1408),-0.0014041061877547048
00068-00000094.soi,polish,Polish,15,9,other,Polish (other),veto,3,0.0,VETO (k=1408),-0.0006553242931955364
00068-00000095.soi,polish,Polish,21,10,n ≫ m,Polish (n ≫ m),veto,9,0.0,VETO (k=1408),-0.0007842163062643152
00068-00000096.soi,polish,Polish,21,7,n ≫ m,Polish (n ≫ m),veto,2,0.0,VETO (k=1408),-0.002927029896264237
00068-00000097.soi,polish,Polish,21,7,n ≫ m,Polish (n ≫ m),veto,7,0.0,VETO (k=1408),0.0005922405541291521
00068-00000098.soi,polish,Polish,21,12,other,Polish (other),veto,7,0.0,VETO (k=1408),0.0005221105443597787
00068-00000099.soi,polish,Polish,21,9,n ≫ m,Polish (n ≫ m),veto,3,0.0,VETO (k=1408),1.0226913284921779e-05
00068-00000100.soi,polish,Polish,15,8,other,Polish (other),veto,4,0.0,VETO (k=1408),-0.00046917426675029383
00068-00000101.soi,polish,Polish,15,9,other,Polish (other),veto,3,0.0,VETO (k=1408),-0.0028307414841008283
00068-00000102.soi,polish,Polish,21,9,n ≫ m,Polish (n ≫ m),veto,3,0.0,VETO (k=1408),-0.0008412906455307181
00068-00000103.soi,polish,Polish,15,8,other,Polish (other),veto,5,0.0,VETO (k=1408),-0.000685429033053539
00068-00000104.soi,polish,Polish,15,8,other,Polish (other),veto,2,0.0,VETO (k=1408),-0.001604554538443238
00068-00000105.soi,polish,Polish,15,14,n ≈ m,Polish (n ≈ m),veto,12,0.0,VETO (k=1408),-0.00032257142333201827
00068-00000106.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),veto,5,0.0,VETO (k=1408),0.0008081017136290768
00068-00000107.soi,polish,Polish,20,9,n ≫ m,Polish (n ≫ m),veto,7,0.0,VETO (k=1408),0.0037723718024210606
00068-00000108.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),veto,4,0.0,VETO (k=1408),0.0003491556256636779
00068-00000109.soi,polish,Polish,15,11,other,Polish (other),veto,1,0.0,VETO (k=1408),0.0005151007814455287
00068-00000110.soi,polish,Polish,15,9,other,Polish (other),veto,3,0.0,VETO (k=1408),-0.00014889183153233442
00068-00000111.soi,polish,Polish,15,8,other,Polish (other),veto,8,0.0,VETO (k=1408),-0.003837542430598083
00068-00000112.soi,polish,Polish,21,7,n ≫ m,Polish (n ≫ m),veto,6,0.0,VETO (k=1408),-5.3027750898433757e-05
