file,dataset,dataset_label,n,m,regime,group,voting_rule,winner,epsilon,rule_label,epsilon_jitter
00068-00000113.soi,polish,Polish,21,19,n ≈ m,Polish (n ≈ m),veto,15,0.0,VETO (k=1408),0.00012046041988205288
00068-00000114.soi,polish,Polish,15,11,other,Polish (other),veto,2,0.0,VETO (k=1408),0.004926484224970573
00068-00000115.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),veto,1,0.0,VETO (k=1408),-0.0003847219295622451
00068-00000116.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),veto,6,0.0,VETO (k=1408),0.0006030946846672249
00068-00000117.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),veto,4,0.0,VETO (k=1408),-6.942353941048663e-05
00068-00000118.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),veto,3,0.0,VETO (k=1408),-0.002337356075239064
00068-00000119.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),veto,4,0.0,VETO (k=1408),0.002285645629030041
00068-00000120.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),veto,1,0.0,VETO (k=1408),0.0015038660653735483
00068-00000121.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),veto,6,0.0,VETO (k=1408),0.0015820638940860939
00068-00000122.soi,polish,Polish,15,10,other,Polish (other),veto,1,0.0,VETO (k=1408),-0.001818774909589478
00068-00000123.soi,polish,Polish,15,10,other,Polish (other),veto,6,0.0,VETO (k=1408),0.0028055886218721986
00068-00000124.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),veto,2,0.0,VETO (k=1408),-0.0028037021255845618
00068-00000125.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),veto,4,0.0,VETO (k=1408),0.0011737141876005405
00068-00000126.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),veto,6,0.0,VETO (k=1408),0.004380911251619957
00068-00000127.soi,polish,Polish,15,9,other,Polish (other),veto,4,0.0,VETO (k=1408),-0.001981072650261377
00068-00000128.soi,polish,Polish,21,8,n ≫ m,Polish (n ≫ m),veto,6,0.0,VETO (k=1408),-0.001132595459205544
00068-00000129.soi,polish,Polish,15,8,other,Polish (other),veto,4,0.0,VETO (k=1408),0.00019930273017528243
00068-00000130.soi,polish,Polish,21,8,n ≫ m,Polish (n ≫ m),veto,3,0.0,VETO (k=1408),-0.0010069513082323984
00068-00000131.soi,polish,Polish,15,9,other,Polish (other),veto,8,0.0,VETO (k=1408),-0.0031013268621322655
00068-00000132.soi,polish,Polish,15,9,other,Polish (other),veto,4,0.0,VETO (k=1408),0.00013712594961205467
00068-00000133.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),veto,6,0.0,VETO (k=1408),-0.0021246074274522096
00068-00000134.soi,polish,Polish,21,9,n ≫ m,Polish (n ≫ m),veto,6,0.0,VETO (k=1408),0.0009471848612703632
00068-00000135.soi,polish,Polish,21,12,other,Polish (other),veto,3,0.0,VETO (k=1408),-0.0018388484684676064
00068-00000136.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),veto,3,0.0,VETO (k=1408),0.003099868810035079
00068-00000137.soi,polish,Polish,21,4,n ≫ m,Polish (n ≫ m),veto,3,0.0,VETO (k=1408),-0.0015665065846724741
00068-00000138.soi,polish,Polish,15,10,other,Polish (other),veto,5,0.0,VETO (k=1408),-0.0006441230324113512
00068-00000139.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),veto,2,0.0,VETO (k=1408),0.0016270344347393394
00068-00000140.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),veto,6,0.0,VETO (k=1408),-0.0024617286328679107
00068-00000141.soi,polish,Polish,15,10,other,Polish (other),veto,5,0.0,VETO (k=1408),0.00045491986920825884
00068-00000142.soi,polish,Polish,15,10,other,Polish (other),veto,3,0.0,VETO (k=1408),0.002614285508564856
00068-00000143.soi,polish,Polish,15,18,n ≈ m,Polish (n ≈ m),veto,3,0.0,VETO (k=1408),-0.003214966469122455
00068-00000144.soi,polish,Polish,21,12,other,Polish (other),veto,9,0.0,VETO (k=1408),0.00036926771706460843
00068-00000145.soi,polish,Polish,21,5,n ≫ m,Polish (n ≫ m),veto,1,0.0,VETO (k=1408),0.0005197655884968471
00068-00000146.soi,polish,Polish,21,11,other,Polish (other),veto,1,0.0,VETO (k=1408),0.0015636457435546207
00068-00000147.soi,polish,Polish,21,9,n ≫ m,Polish (n ≫ m),veto,1,0.0,VETO (k=1408),-0.002473901421756164
00068-00000148.soi,polish,Polish,15,8,other,Polish (other),veto,5,0.0,VETO (k=1408),-0.0026409132261685526
00068-00000149.soi,polish,Polish,21,6,n ≫ m,Polish (n ≫ m),veto,1,0.0,VETO (k=1408),0.0010438831312337953
00068-00000150.soi,polish,Polish,15,9,other,Polish (other),veto,5,0.0,VETO (k=1408),0.0005939693464663722
00068-00000151.soi,polish,Polish,15,10,other,Polish (other),veto,1,0.0,VETO (k=1408),0.0005009857006917531
00068-00000152.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),veto,3,0.0,VETO (k=1408),0.0006928964189939514
00068-00000153.soi,polish,Polish,15,9,other,Polish (other),veto,2,0.0,VETO (k=1408),-0.0013600494431569817
00068-00000154.soi,polish,Polish,15,4,n ≫ m,Polish (n ≫ m),veto,2,0.0,VETO (k=1408),0.00046450739432200714
00068-00000155.soi,polish,Polish,15,10,other,Polish (other),veto,6,0.0,VETO (k=1408),0.0005861449465973625
00068-00000156.soi,polish,Polish,15,11,other,Polish (other),veto,4,0.0,VETO (k=1408),-0.0014287028360527357
00068-00000157.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),veto,3,0.0,VETO (k=1408),0.0037315490222895134
00068-00000158.soi,polish,Polish,15,9,other,Polish (other),veto,2,0.0,VETO (k=1408),0.000947665841823575
00068-00000159.soi,polish,Polish,15,9,other,Polish (other),veto,4,0.0,VETO (k=1408),-0.0023826069944052975
00068-00000160.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),veto,4,0.0,VETO (k=1408),0.0013131072172676594
00068-00000161.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),veto,4,0.0,VETO (k=1408),-0.001949363340454643
00068-00000162.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),veto,6,0.0,VETO (k=1408),0.001574169207484904
00068-00000163.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),veto,6,0.0,VETO (k=1408),0.002317191158014808
00068-00000164.soi,polish,Polish,15,9,other,Polish (other),veto,1,0.0,VETO (k=1408),-0.0016413646367034209
00068-00000165.soi,polish,Polish,15,4,n ≫ m,Polish (n ≫ m),veto,2,0.0,VETO (k=1408),0.0019267522584886436
00068-00000166.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),veto,1,0.0,VETO (k=1408),0.0008255618538729967
00068-00000167.soi,polish,Polish,21,9,n ≫ m,Polish (n ≫ m),veto,2,0.0,VETO (k=1408),0.00164412031998898
00068-00000168.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),veto,5,0.0,VETO (k=1408),0.0037935859653078947
00068-00000169.soi,polish,Polish,21,4,n ≫ m,Polish (n ≫ m),veto,1,0.0,VETO (k=1408),-0.000490776232005741
00068-00000170.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),veto,3,0.0,VETO (k=1408),-0.0015074723287149792
00068-00000171.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),veto,2,0.0,VETO (k=1408),-0.0017790288592510466
00068-00000172.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),veto,3,0.0,VETO (k=1408),-0.0016316205699308767
00068-00000173.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),veto,3,0.0,VETO (k=1408),-0.0001542034188282084
00068-00000174.soi,polish,Polish,21,7,n ≫ m,Polish (n ≫ m),veto,3,0.0,VETO (k=1408),0.0006823039496332878
00068-00000175.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),veto,4,0.0,VETO (k=1408),0.0005533815986600381
00068-00000176.soi,polish,Polish,21,8,n ≫ m,Polish (n ≫ m),veto,2,0.0,VETO (k=1408),0.0016543664980720476
00068-00000177.soi,polish,Polish,23,9,n ≫ m,Polish (n ≫ m),veto,2,0.0,VETO (k=1408),2.6003783755814038e-05
00068-00000178.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),veto,1,0.0,VETO (k=1408),0.0029070681543146336
00068-00000179.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),veto,2,0.0,VETO (k=1408),-0.0005293136664759121
00068-00000180.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),veto,2,0.0,VETO (k=1408),0.005440338333179238
00068-00000181.soi,polish,Polish,21,11,other,Polish (other),veto,8,0.0,VETO (k=1408),0.0012513346955300125
00068-00000182.soi,polish,Polish,15,8,other,Polish (other),veto,1,0.0,VETO (k=1408),-0.0017143151128325652
00068-00000183.soi,polish,Polish,15,8,other,Polish (other),veto,1,0.0,VETO (k=1408),-0.0021417849961222245
00068-00000184.soi,polish,Polish,15,8,other,Polish (other),veto,7,0.0,VETO (k=1408),0.0009649448304863706
00068-00000185.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),veto,3,0.0,VETO (k=1408),-0.0004469255706517018
00068-00000186.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),veto,3,0.0,VETO (k=1408),0.001428000988184184
00068-00000187.soi,polish,Polish,15,10,other,Polish (other),veto,4,0.0,VETO (k=1408),0.0009464752491470897
00068-00000188.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),veto,3,0.0,VETO (k=1408),-0.00014565782531374556
00068-00000189.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),veto,2,0.0,VETO (k=1408),-0.00169358743613681
00068-00000190.soi,polish,Polish,15,8,other,Polish (other),veto,6,0.0,VETO (k=1408),-0.0030296944493717294
00068-00000191.soi,polish,Polish,15,9,other,Polish (other),veto,5,0.0,VETO (k=1408),-0.0008930299041340422
00068-00000192.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),veto,1,0.0,VETO (k=1408),0.0017127975886469446
00068-00000193.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),veto,3,0.0,VETO (k=1408),0.0004281874882604079
00068-00000194.soi,polish,Polish,15,8,other,Polish (other),veto,3,0.0,VETO (k=1408),-0.002491477557423976
00068-00000195.soi,polish,Polish,15,8,other,Polish (other),veto,4,0.0,VETO (k=1408),0.000346361851702364
00068-00000196.soi,polish,Polish,15,11,other,Polish (other),veto,1,0.0,VETO (k=1408),0.0007706347594576736
00068-00000197.soi,polish,Polish,15,8,other,Polish (other),veto,8,0.0,VETO (k=1408),-0.001767714872402266
00068-00000198.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),veto,7,0.0,VETO (k=1408),0.00030745021189105583
00068-00000199.soi,polish,Polish,15,9,other,Polish (other),veto,7,0.0,VETO (k=1408),0.0001164174368919998
00068-00000200.soi,polish,Polish,21,9,n ≫ m,Polish (n ≫ m),veto,1,0.0,VETO (k=1408),-0.002285940595661246
00068-00000201.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),veto,5,0.0,VETO (k=1408),0.0007155747206965666
00068-00000202.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),veto,4,0.0,VETO (k=1408),0.0011215690527364688
00068-00000203.soi,polish,Polish,21,8,n ≫ m,Polish (n ≫ m),veto,4,0.0,VETO (k=1408),0.002166102486350554
00068-00000204.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),veto,4,0.0,VETO (k=1408),0.002107604104069806
00068-00000205.soi,polish,Polish,15,15,n ≈ m,Polish (n ≈ m),veto,1,0.0,VETO (k=1408),-0.002755338735914182
00068-00000206.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),veto,2,0.0,VETO (k=1408),-0.0018756500798302457
00068-00000207.soi,polish,Polish,15,9,other,Polish (other),veto,8,0.0,VETO (k=1408),0.0010300705344173195
00068-00000208.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),veto,5,0.0,VETO (k=1408),0.0010275719018244176
00068-00000209.soi,polish,Polish,21,13,other,Polish (other),veto,11,0.0,VETO (k=1408),0.0010300953726120959
00068-00000210.soi,polish,Polish,15,12,other,Polish (other),veto,10,0.0,VETO (k=1408),0.007705462981309442
00068-00000211.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),veto,2,0.0,VETO (k=1408),0.001141781021386334
00068-00000212.soi,polish,Polish,23,16,other,Polish (other),veto,4,0.0,VETO (k=1408),0.002271131280361198
00068-00000213.soi,polish,Polish,15,19,other,Polish (other),veto,1,0.0,VETO (k=1408),0.0019080035269864047
00068-00000214.soi,polish,Polish,15,18,n ≈ m,Polish (n ≈ m),veto,8,0.0,VETO (k=1408),0.001302782502611596
00068-00000215.soi,polish,Polish,15,18,n ≈ m,Polish (n ≈ m),veto,4,0.0,VETO (k=1408),-0.0006305384892806912
00068-00000216.soi,polish,Polish,15,9,other,Polish (other),veto,6,0.0,VETO (k=1408),0.001517938440986535
00068-00000217.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),veto,6,0.0,VETO (k=1408),-0.0015456504290751437
00068-00000218.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),veto,6,0.0,VETO (k=1408),-0.00047363721348001774
00068-00000219.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),veto,6,0.0,VETO (k=1408),-0.000970727095658207
00068-00000220.soi,polish,Polish,15,10,other,Polish (other),veto,10,0.0,VETO (k=1408),0.00016374827877264512
