file,dataset,dataset_label,n,m,regime,group,pvc_size,pvc_proportion,winner,epsilon
00048-00000319.soc,spotify,Spotify,31,75,n ≪ m,Spotify (n ≪ m),2,0.02666666666666667,75,0.0
00048-00000320.soc,spotify,Spotify,31,87,n ≪ m,Spotify (n ≪ m),1,0.011494252873563218,33,0.0
00048-00000321.soc,spotify,Spotify,30,90,n ≪ m,Spotify (n ≪ m),3,0.03333333333333333,34,0.0
00048-00000322.soc,spotify,Spotify,31,87,n ≪ m,Spotify (n ≪ m),4,0.04597701149425287,24,0.0
00048-00000323.soc,spotify,Spotify,30,91,n ≪ m,Spotify (n ≪ m),2,0.02197802197802198,23,0.0
00048-00000339.soc,spotify,Spotify,31,91,n ≪ m,Spotify (n ≪ m),1,0.01098901098901099,8,0.0
00048-00000349.soc,spotify,Spotify,31,26,n ≈ m,Spotify (n ≈ m),5,0.19230769230769232,21,0.0
00048-00000372.soc,spotify,Spotify,31,92,n ≪ m,Spotify (n ≪ m),6,0.06521739130434782,50,0.0
00048-00000373.soc,spotify,Spotify,31,69,n ≪ m,Spotify (n ≪ m),2,0.028985507246376812,42,0.0
00048-00000375.soc,spotify,Spotify,31,99,n ≪ m,Spotify (n ≪ m),2,0.020202020202020204,4,0.0
00048-00000384.soc,spotify,Spotify,31,88,n ≪ m,Spotify (n ≪ m),1,0.011363636363636364,5,0.0
00048-00000385.soc,spotify,Spotify,30,26,n ≈ m,Spotify (n ≈ m),3,0.11538461538461539,13,0.0
00048-00000386.soc,spotify,Spotify,27,32,n ≈ m,Spotify (n ≈ m),1,0.03125,7,0.0
00048-00000387.soc,spotify,Spotify,31,31,n ≈ m,Spotify (n ≈ m),1,0.03225806451612903,6,0.0
00048-00000388.soc,spotify,Spotify,30,27,n ≈ m,Spotify (n ≈ m),2,0.07407407407407407,11,0.0
00048-00000389.soc,spotify,Spotify,29,26,n ≈ m,Spotify (n ≈ m),5,0.19230769230769232,8,0.0
00048-00000390.soc,spotify,Spotify,29,30,n ≈ m,Spotify (n ≈ m),2,0.06666666666666667,27,0.0
00048-00000391.soc,spotify,Spotify,31,30,n ≈ m,Spotify (n ≈ m),2,0.06666666666666667,10,0.0
00048-00000392.soc,spotify,Spotify,25,29,n ≈ m,Spotify (n ≈ m),7,0.2413793103448276,17,0.0
00048-00000405.soc,spotify,Spotify,1,84,n ≪ m,Spotify (n ≪ m),1,0.011904761904761904,58,0.0
00048-00000407.soc,spotify,Spotify,28,28,n ≈ m,Spotify (n ≈ m),1,0.03571428571428571,6,0.0
00048-00000408.soc,spotify,Spotify,31,27,n ≈ m,Spotify (n ≈ m),1,0.037037037037037035,5,0.0
00048-00000409.soc,spotify,Spotify,30,27,n ≈ m,Spotify (n ≈ m),3,0.1111111111111111,11,0.0
00048-00000410.soc,spotify,Spotify,29,24,n ≈ m,Spotify (n ≈ m),2,0.08333333333333333,9,0.0
00048-00000412.soc,spotify,Spotify,31,25,n ≈ m,Spotify (n ≈ m),1,0.04,9,0.0
00048-00000413.soc,spotify,Spotify,26,32,n ≈ m,Spotify (n ≈ m),4,0.125,10,0.0
00048-00000415.soc,spotify,Spotify,27,28,n ≈ m,Spotify (n ≈ m),3,0.10714285714285714,11,0.0
00048-00000416.soc,spotify,Spotify,27,31,n ≈ m,Spotify (n ≈ m),1,0.03225806451612903,20,0.0
00048-00000417.soc,spotify,Spotify,31,25,n ≈ m,Spotify (n ≈ m),1,0.04,19,0.0
00048-00000447.soc,spotify,Spotify,29,97,n ≪ m,Spotify (n ≪ m),2,0.020618556701030927,96,0.0
00048-00000477.soc,spotify,Spotify,31,78,n ≪ m,Spotify (n ≪ m),2,0.02564102564102564,25,0.0
00048-00000478.soc,spotify,Spotify,30,75,n ≪ m,Spotify (n ≪ m),2,0.02666666666666667,30,0.0
00048-00000479.soc,spotify,Spotify,28,77,n ≪ m,Spotify (n ≪ m),1,0.012987012987012988,36,0.0
00048-00000480.soc,spotify,Spotify,31,84,n ≪ m,Spotify (n ≪ m),1,0.011904761904761904,36,0.0
00048-00000481.soc,spotify,Spotify,30,87,n ≪ m,Spotify (n ≪ m),2,0.022988505747126436,39,0.0
00048-00000482.soc,spotify,Spotify,29,84,n ≪ m,Spotify (n ≪ m),4,0.047619047619047616,56,0.0
00048-00000483.soc,spotify,Spotify,29,91,n ≪ m,Spotify (n ≪ m),1,0.01098901098901099,65,0.0
00048-00000484.soc,spotify,Spotify,31,97,n ≪ m,Spotify (n ≪ m),1,0.010309278350515464,73,0.0
00048-00000485.soc,spotify,Spotify,31,96,n ≪ m,Spotify (n ≪ m),1,0.010416666666666666,71,0.0
00048-00000487.soc,spotify,Spotify,31,97,n ≪ m,Spotify (n ≪ m),2,0.020618556701030927,45,0.0
00048-00000488.soc,spotify,Spotify,30,100,n ≪ m,Spotify (n ≪ m),3,0.03,46,0.0
00048-00000519.soc,spotify,Spotify,29,99,n ≪ m,Spotify (n ≪ m),1,0.010101010101010102,98,0.0
00048-00000537.soc,spotify,Spotify,31,76,n ≪ m,Spotify (n ≪ m),1,0.013157894736842105,47,0.0
00048-00000538.soc,spotify,Spotify,31,78,n ≪ m,Spotify (n ≪ m),3,0.038461538461538464,29,0.0
00048-00000539.soc,spotify,Spotify,28,87,n ≪ m,Spotify (n ≪ m),1,0.011494252873563218,39,0.0
00048-00000540.soc,spotify,Spotify,30,91,n ≪ m,Spotify (n ≪ m),2,0.02197802197802198,41,0.0
00048-00000541.soc,spotify,Spotify,30,85,n ≪ m,Spotify (n ≪ m),1,0.011764705882352941,46,0.0
00048-00000542.soc,spotify,Spotify,29,82,n ≪ m,Spotify (n ≪ m),1,0.012195121951219513,55,0.0
00048-00000543.soc,spotify,Spotify,29,93,n ≪ m,Spotify (n ≪ m),3,0.03225806451612903,65,0.0
00048-00000555.soc,spotify,Spotify,29,70,n ≪ m,Spotify (n ≪ m),2,0.02857142857142857,69,0.0
00048-00000560.soc,spotify,Spotify,30,100,n ≪ m,Spotify (n ≪ m),1,0.01,65,0.0
00048-00000575.soc,spotify,Spotify,28,29,n ≈ m,Spotify (n ≈ m),1,0.034482758620689655,7,0.0
00048-00000576.soc,spotify,Spotify,31,32,n ≈ m,Spotify (n ≈ m),1,0.03125,5,0.0
00048-00000577.soc,spotify,Spotify,30,29,n ≈ m,Spotify (n ≈ m),1,0.034482758620689655,4,0.0
00048-00000578.soc,spotify,Spotify,29,30,n ≈ m,Spotify (n ≈ m),6,0.2,17,0.0
00048-00000579.soc,spotify,Spotify,29,28,n ≈ m,Spotify (n ≈ m),1,0.03571428571428571,26,0.0
00048-00000580.soc,spotify,Spotify,31,33,n ≈ m,Spotify (n ≈ m),1,0.030303030303030304,11,0.0
00048-00000581.soc,spotify,Spotify,29,36,n ≈ m,Spotify (n ≈ m),3,0.08333333333333333,1,0.0
00048-00000583.soc,spotify,Spotify,31,33,n ≈ m,Spotify (n ≈ m),4,0.12121212121212122,15,0.0
00048-00000584.soc,spotify,Spotify,30,31,n ≈ m,Spotify (n ≈ m),3,0.0967741935483871,24,0.0
00048-00000587.soc,spotify,Spotify,24,63,n ≪ m,Spotify (n ≪ m),1,0.015873015873015872,31,0.0
00048-00000588.soc,spotify,Spotify,31,66,n ≪ m,Spotify (n ≪ m),1,0.015151515151515152,32,0.0
00048-00000589.soc,spotify,Spotify,29,67,n ≪ m,Spotify (n ≪ m),3,0.04477611940298507,33,0.0
00048-00000590.soc,spotify,Spotify,29,69,n ≪ m,Spotify (n ≪ m),1,0.014492753623188406,46,0.0
00048-00000591.soc,spotify,Spotify,29,75,n ≪ m,Spotify (n ≪ m),1,0.013333333333333334,51,0.0
00048-00000592.soc,spotify,Spotify,31,77,n ≪ m,Spotify (n ≪ m),4,0.05194805194805195,59,0.0
00048-00000593.soc,spotify,Spotify,31,82,n ≪ m,Spotify (n ≪ m),1,0.012195121951219513,62,0.0
00048-00000594.soc,spotify,Spotify,30,86,n ≪ m,Spotify (n ≪ m),3,0.03488372093023256,67,0.0
00048-00000595.soc,spotify,Spotify,31,84,n ≪ m,Spotify (n ≪ m),4,0.047619047619047616,48,0.0
00048-00000596.soc,spotify,Spotify,30,75,n ≪ m,Spotify (n ≪ m),1,0.013333333333333334,51,0.0
00048-00000597.soc,spotify,Spotify,31,74,n ≪ m,Spotify (n ≪ m),3,0.04054054054054054,20,0.0
00048-00000612.soc,spotify,Spotify,31,97,n ≪ m,Spotify (n ≪ m),1,0.010309278350515464,43,0.0
00048-00000616.soc,spotify,Spotify,31,95,n ≪ m,Spotify (n ≪ m),2,0.021052631578947368,40,0.0
00048-00000621.soc,spotify,Spotify,31,99,n ≪ m,Spotify (n ≪ m),1,0.010101010101010102,91,0.0
00048-00000633.soc,spotify,Spotify,31,72,n ≪ m,Spotify (n ≪ m),1,0.013888888888888888,40,0.0
00048-00000638.soc,spotify,Spotify,29,87,n ≪ m,Spotify (n ≪ m),2,0.022988505747126436,55,0.0
00068-00000001.soi,polish,Polish,23,10,n ≫ m,Polish (n ≫ m),2,0.2,9,0.0
00068-00000002.soi,polish,Polish,15,14,n ≈ m,Polish (n ≈ m),3,0.21428571428571427,13,0.0
00068-00000004.soi,polish,Polish,15,17,n ≈ m,Polish (n ≈ m),3,0.17647058823529413,1,0.0
